Word,Language,Count,Count_Log
view,ar,66,4.204692619390966
published,ar,10,2.3978952727983707
cnn,ar,7,2.0794415416798357
quotes,ar,7,2.0794415416798357
webstatustitlearticle,ar,6,1.9459101490553132
articlearticletitle,ar,6,1.9459101490553132
ajlogo,ar,5,1.791759469228055
news,ar,5,1.791759469228055
play,ar,4,1.6094379124341003
search,ar,4,1.6094379124341003
back,ar,4,1.6094379124341003
bbcarabic,ar,3,1.3862943611198906
articlevisitcount,ar,3,1.3862943611198906
articlebodyarticle,ar,3,1.3862943611198906
reserved,ar,3,1.3862943611198906
bbc,ar,3,1.3862943611198906
english,ar,3,1.3862943611198906
rights,ar,3,1.3862943611198906
whatsapp,ar,3,1.3862943611198906
navigation,ar,2,1.0986122886681098
playarrow,ar,2,1.0986122886681098
fbi,ar,2,1.0986122886681098
list,ar,2,1.0986122886681098
liveblue,ar,2,1.0986122886681098
magazine,ar,2,1.0986122886681098
cable,ar,2,1.0986122886681098
company,ar,2,1.0986122886681098
discovery,ar,2,1.0986122886681098
bbcnewsarabic,ar,2,1.0986122886681098
bros,ar,2,1.0986122886681098
video,ar,2,1.0986122886681098
warner,ar,2,1.0986122886681098
network,ar,2,1.0986122886681098
menu,ar,2,1.0986122886681098
sidemenu,ar,2,1.0986122886681098
rss,ar,2,1.0986122886681098
farsi,ar,1,0.6931471805599453
info,ar,1,0.6931471805599453
account,ar,1,0.6931471805599453
blinkingdot,ar,1,0.6931471805599453
byd,ar,1,0.6931471805599453
caretleft,ar,1,0.6931471805599453
cookies,ar,1,0.6931471805599453
caretright,ar,1,0.6931471805599453
east,ar,1,0.6931471805599453
esg,ar,1,0.6931471805599453
instagramcoloredoutline,ar,1,0.6931471805599453
facebook,ar,1,0.6931471805599453
middle,ar,1,0.6931471805599453
online,ar,1,0.6931471805599453
share,ar,1,0.6931471805599453
sell,ar,1,0.6931471805599453
sos,ar,1,0.6931471805599453
sort,ar,1,0.6931471805599453
urdu,ar,1,0.6931471805599453
twitter,ar,1,0.6931471805599453
tiktokcoloredoutline,ar,1,0.6931471805599453
telegram,ar,1,0.6931471805599453
speak,ar,1,0.6931471805599453
user,ar,1,0.6931471805599453
xrg,ar,1,0.6931471805599453
youtube,ar,1,0.6931471805599453
best,en,336,5.820082930352362
new,en,256,5.54907608489522
ago,en,241,5.488937726156687
news,en,230,5.442417710521793
charlie,en,155,5.049856007249537
see,en,151,5.0238805208462765
tech,en,143,4.969813299576001
iphone,en,136,4.919980925828125
sep,en,136,4.919980925828125
kirk,en,130,4.875197323201151
home,en,121,4.804021044733257
forbes,en,111,4.718498871295094
video,en,110,4.709530201312334
top,en,108,4.6913478822291435
apple,en,107,4.68213122712422
hours,en,107,4.68213122712422
read,en,107,4.68213122712422
shows,en,103,4.6443908991413725
trump,en,100,4.61512051684126
get,en,98,4.59511985013459
world,en,98,4.59511985013459
deals,en,92,4.532599493153256
pro,en,92,4.532599493153256
live,en,90,4.51085950651685
stories,en,89,4.499809670330265
business,en,88,4.48863636973214
politics,en,86,4.465908118654584
says,en,82,4.418840607796598
newsletters,en,81,4.406719247264253
one,en,80,4.394449154672439
photo,en,78,4.3694478524670215
review,en,77,4.356708826689592
watch,en,76,4.343805421853684
years,en,74,4.31748811353631
health,en,72,4.290459441148391
latest,en,72,4.290459441148391
day,en,71,4.276666119016055
min,en,71,4.276666119016055
policy,en,71,4.276666119016055
security,en,67,4.219507705176107
topic,en,67,4.219507705176107
back,en,64,4.174387269895637
culture,en,63,4.1588830833596715
help,en,63,4.1588830833596715
media,en,63,4.1588830833596715
caption,en,62,4.143134726391533
first,en,62,4.143134726391533
services,en,62,4.143134726391533
time,en,62,4.143134726391533
air,en,61,4.127134385045092
life,en,61,4.127134385045092
